company_name,fiscal_year,metric,ratio_value,avg_across_years,variance_from_avg,year_rank
Hul Consolidated Balance Sheet Xlsx,2024,Net Profit Margin(%),16.6,16.6,0.0,1
Hul Consolidated Balance Sheet Xlsx,2024,Operating Profit Margin(%),23.68,23.68,0.0,1
Hul Consolidated Balance Sheet Xlsx,2024,Return on Assets Excluding Revaluations,218.86,218.86,0.0,1
Hul Consolidated Balance Sheet Xlsx,2024,Return On Capital Employed(%),27.83,27.83,0.0,1
Hul Consolidated Balance Sheet Xlsx,2024,Return On Net Worth(%),20.06,20.06,0.0,1
