company_name,fiscal_year,metric,total_assets,units,prev_year_assets,yoy_growth,yoy_growth_pct,cumulative_growth_from_2021,growth_multiple
Hul Consolidated Balance Sheet Xlsx,2021,Total Assets,68757.0,CRORES,,,,0.0,1.0
Hul Consolidated Balance Sheet Xlsx,2022,Total Assets,70517.0,CRORES,68757.0,1760.0,2.56,2.56,1.03
Hul Consolidated Balance Sheet Xlsx,2023,Total Assets,73087.0,CRORES,70517.0,2570.0,3.64,6.3,1.06
Hul Consolidated Balance Sheet Xlsx,2024,Total Assets,78499.0,CRORES,73087.0,5412.0,7.4,14.17,1.14
Hul Consolidated Balance Sheet Xlsx,2025,Total Assets,79880.0,CRORES,78499.0,1381.0,1.76,16.18,1.16
